organizzatore;identificativo;nconf;anno;mp;provaaccredita;prova;misurando;operatore;zscore;altrocriterioorg;tipologia;tecnica 
Lgc Standards Srl; PT-WT-412;261713/2014;2014;MP 01/092;SI;MF (Membrana Filtrante);Escherichia coli;Operatore 1;0.61;;quantitativo;MF
Lgc Standards Srl; PT-WT-412;261713/2014;2014;MP 01/092;SI;MF (Membrana Filtrante);Escherichia coli;Operatore 2;-0.25;;quantitativo;MF
Lgc Standards Srl; PT-WT-412;261713/2014;2014;MP 01/092;SI;MF (Membrana Filtrante);Coliformi;Operatore 1;0.42;;quantitativo;MF
Lgc Standards Srl; PT-WT-412;261713/2014;2014;MP 01/092;SI;MF (Membrana Filtrante);Coliformi;Operatore 2;-0.44;;quantitativo;MF
Lgc Standards Srl; PT-WT-412;261713/2014;2014;MP 01/093;SI;MF (Membrana Filtrante);Enterococchi;Operatore 1;0;;quantitativo;MF
Lgc Standards Srl; PT-WT-412;261713/2014;2014;MP 01/093;SI;MF (Membrana Filtrante);Enterococchi;Operatore 2;0.24;;quantitativo;MF
Lgc Standards Srl; distribuzione 221;229087/2014;2014;MP 01/142;SI;Microbiologica;Bacillus cereus presunto;Operatore 1;0.3;;quantitativo;microgpos
Lgc Standards Srl; distribuzione 221;229087/2014;2014;MP 01/142;SI;Microbiologica;Bacillus cereus presunto;Operatore 2;-0.42;;quantitativo;microgpos
Lgc Standards Srl; distribuzione 221;229087/2014;2014;MP 01/089;SI;Microbiologica a 37°C;Stafilococchi coagulasi-positivi;Operatore 1;0.67;;quantitativo;microgpos
Lgc Standards Srl; distribuzione 221;229087/2014;2014;MP 01/089;SI;Microbiologica a 37°C;Stafilococchi coagulasi-positivi;Operatore 2;1.08;;quantitativo;microgpos
Lgc Standards Srl; distribuzione 221;229087/2014;2014;MP 01/111;SI;Microbiologica a 37°C;Stafilococchi coagulasi-positivi;Operatore 1;0.77;;quantitativo;microgpos
Lgc Standards Srl; distribuzione 221;229087/2014;2014;MP 01/111;SI;Microbiologica a 37°C;Stafilococchi coagulasi-positivi;Operatore 2;0.85;;quantitativo;microgpos
Lgc Standards Srl; distribuzione 221;229078/2014;2014;MP 01/101;SI;Microbiologica;Listeria monocytogenes;Operatore 1;0.38;;quantitativo;microaltri
Lgc Standards Srl; distribuzione 221;229078/2014;2014;MP 01/101;SI;Microbiologica;Listeria monocytogenes;Operatore 2;0.34;;quantitativo;microaltri
Lgc Standards Srl; PT-MC 10F;126570/2014;2014;MP 01/145;SI;Microbiologica;Clostridium perfringens;Operatore 1;0.49;;quantitativo;microgpos
Lgc Standards Srl; PT-MC 10F;126570/2014;2014;MP 01/145;SI;Microbiologica;Clostridium perfringens;Operatore 2;0.24;;quantitativo;microgpos
Lgc Standards Srl; PT-MC-16F;93605/2014;2014;MP 01/112;SI;Microbiologica a 30°C;Microrganismi;Operatore 1;0.66;;quantitativo;microaltri
Lgc Standards Srl; PT-MC-16F;93605/2014;2014;MP 01/112;SI;Microbiologica a 30°C;Microrganismi;Operatore 2;1.23;;quantitativo;microaltri
Lgc Standards Srl; PT-MC-16F;93605/2014;2014;MP 01/110;SI;Microbiologica;Enterobacteriaceae;Operatore 1;-0.6;;quantitativo;microentero
Lgc Standards Srl; PT-MC-16F;93605/2014;2014;MP 01/110;SI;Microbiologica;Enterobacteriaceae;Operatore 2;-0.54;;quantitativo;microentero
Lgc Standards Srl; PT-MC-16F;93605/2014;2014;MP 01/171;SI;Microbiologica a 37°C;Coliformi;Operatore 1;-0.38;;quantitativo;microentero
